id,title,old_category,old_unit,new_category,new_unit,bucket,confidence,reason
"b13a3a5a-ceb4-49cc-a1c0-ef516fba3c9c","Pigmentation & Melanocyte Disorders: Nevi, Freckles Pathology","Year 3: Breast Pathology","","Year 3: General & Systemic Pathology","Dermatopathology","","high","Override #2: content is Pigmentation & Melanocyte Disorders (nevi, freckles) - pure skin pathology mislabeled as Breast Pathology"
"584b467c-0606-4c0e-aa8f-040d83421e0c","Community Health: Principles, Concepts & Diagnosis Guide","Year 3: Community Health","","Year 3: Community Health","Community Health","","high","Clean label match: raw suffix ""Community Health"" maps directly to taxonomy"
"9f8daef9-7582-4f7d-8f23-a5588b663adf","Blood Transfusion: ABO, Rh Blood Groups, Compatibility & HDN","Year 3: Blood Transfusion","","Year 3: Hematology and Blood Transfusion","Blood Transfusion","","high","Clean label match: raw suffix ""Blood Transfusion"" maps directly to taxonomy"
"ef1a7f99-7653-4535-b148-19e8877c2075","Haemostasis & Coagulation: Platelet Function & Bleeding Disorders","Year 3: Blood Transfusion","","Year 3: Hematology and Blood Transfusion","Hematopathology","","medium","Category is ""Blood Transfusion"" but content (""Haemostasis & Coagulation: Platelet Function & Bleeding Disorders"", MBML3223 NOTE 1) covers hemostasis/coagulation/platelet/bleeding disorders which fit Hematopathology (blood-disorder pathology) better than Blood Transfusion (transfusion-practice); reclassified for consistency with similar content elsewhere"
"fcf197c0-b3ae-4473-baab-d88da4b5f839","Blood Transfusion Contraindications & Acute Reactions","Year 3: Hematopathology","","Year 3: Hematology and Blood Transfusion","Blood Transfusion","","high","Category is ""Hematopathology"" but content (""Blood Transfusion Contraindications & Acute Reactions"") is Blood Transfusion - reclassified"
"bc64a3fa-c99f-419d-b818-47c0898a9881","Medical Mycology: Fungi Properties, Benefits & Harmful Effects","Year 3: Medical Mycology","","Year 3: Medical Microbiology and Parasitology","Medical Mycology","","high","Clean label match: raw suffix ""Medical Mycology"" maps directly to taxonomy"
"9f8419f9-27e7-4b17-89fc-545036a916c7","Oncopathology MCQs: Test Your Knowledge on Cancer Pathology","Year 3: Oncopathology","","Year 3: General & Systemic Pathology","Oncopathology","","high","Clean label match: raw suffix ""Oncopathology"" maps directly to taxonomy"
"ea279fe7-551d-4c87-b985-323ac6fb97b6","Medical Fungi: Classification, Morphology, Reproduction & Spores","Year 3: Medical Mycology","","Year 3: Medical Microbiology and Parasitology","Medical Mycology","","high","Clean label match: raw suffix ""Medical Mycology"" maps directly to taxonomy"
"f67e2004-1de6-4b84-ae7a-8693051de36d","Mycoses: Fungal Pathogenesis, Virulence & Host Immune Defense","Year 3: Medical Mycology","","Year 3: Medical Microbiology and Parasitology","Medical Mycology","","high","Clean label match: raw suffix ""Medical Mycology"" maps directly to taxonomy"
"7dade3ab-bf8f-4424-8b45-7d0a4f8ff5f9","DISORDERS OF THE LOWER URINARY TRACT — Revision Notes","Year 3: Male Reproductive and Urinary System Pathology","","Year 3: General & Systemic Pathology","Male Reproductive and Urinary System Pathology","","high","Clean label match: raw suffix ""Male Reproductive and Urinary System Pathology"" maps directly to taxonomy"
"59384604-9e23-49c8-8599-d1dcd764c66f","GASTROINTESTINAL PATHOLOGY (Part 1)","Year 3: General Pathology","","Year 3: General & Systemic Pathology","Gastrointestinal Pathology","","high","Category is ""General Pathology"" but title/content (""GASTROINTESTINAL PATHOLOGY Part 1"") is GI Pathology - reclassified"
"ac1c4907-be3b-4a36-9bd4-5040dae4bdfc","Gastrointestinal System: Symptoms, Diseases, & VINDICATE Guide","Year 3: Introduction to Clinical Techniques","","Year 3: General & Systemic Pathology","Gastrointestinal Pathology","","medium","Category is ""Introduction to Clinical Techniques"" but content is GI disease classification via the VINDICATE mnemonic (vascular/infectious/neoplastic/etc. causes of GI disease) - disease content, not an exam-technique/history-taking skill; reclassified to GI Pathology"
"aff56e70-80d0-4e82-9dac-d3d734d194b8","Mastering Joint Pathology: Arthritis, OA & Joint Anatomy","Year 3: Bone and Soft Tissue Pathology","","Year 3: General & Systemic Pathology","Bone and Soft Tissue Pathology","","high","Clean label match: raw suffix ""Bone and Soft Tissue Pathology"" maps directly to taxonomy"
"ec0d95b4-aceb-409d-bbef-f15088fe1210","Disorders of the Vagina and Breast","Year 3: Breast Pathology","","Year 3: General & Systemic Pathology","Breast Pathology","","medium","Multi-topic: ""Disorders of the Vagina and Breast"" - Breast section (fibrocystic change/mastitis/fibroadenoma/phyllodes/carcinoma/male breast, ~8.6k chars) much larger than Vagina section (vaginitis/vaginal neoplasms, ~3.5k chars). Breast Pathology dominant by volume."
"0f5655da-913d-400f-8032-4b8ca98abc11","General Pathology MCQs: Cancer, Tumors & Molecular Path Review","Year 3: General Pathology","","Year 3: General & Systemic Pathology","Oncopathology","","high","Category is ""General Pathology"" but title (""General Pathology MCQs: Cancer, Tumors & Molecular Path Review"") is Oncopathology content - reclassified"
"88e06805-a632-4109-bf3d-0bb895aec903","ACIDOSIS AND ALKALOSIS MCQs","Year 3: Hematopathology","","Year 3: Chemical Pathology","Clinical Chemistry","","high","Category is ""Hematopathology"" but content (""ACIDOSIS AND ALKALOSIS MCQs"") is acid-base/Clinical Chemistry - reclassified"
"e575f1a9-e85a-44c6-bd30-ff6f5b64fc66","General Clinical Examination: Revision Notes & Key Signs","Year 3: Introduction to Clinical Techniques","","Year 3: Clinical Techniques","Introduction to Clinical Techniques","","high","Clean label match: raw suffix ""Introduction to Clinical Techniques"" maps directly to taxonomy"
"22888b16-2692-490d-b7d9-2744c58bda25","Defects in DNA Repair and Replication","Year 3: Hematopathology","","Year 3: General & Systemic Pathology","Genetic Disorders","","high","Category is ""Hematopathology"" but content (""Defects in DNA Repair and Replication"") is molecular genetics/cancer predisposition - Genetic Disorders, reclassified (sickle cell used only as an illustrative missense-mutation example)"
"bf8d8ef7-164e-4ac0-835a-ab75e875e0dc","Cardiovascular Disease and Biochemical Markers MCQs","Year 3: Cardiovascular System Pathology","","Year 3: General & Systemic Pathology","Cardiovascular System Pathology","","high","Clean label match: raw suffix ""Cardiovascular System Pathology"" maps directly to taxonomy"
"6f718a71-1dba-4e1c-be05-7ec825034b7c","MKU MBChB Year III Exam Timetable: Medicine & Surgery Revision 2026","Year 3: Exam Timetable","","","","reference","high","Exam Timetable document - not a course unit"
"ac44d724-0955-4975-910b-aae0148879cb","Medical Virology: Adenoviruses, Hemorrhagic Fever & Viral Receptors","Year 3: Must Know Virology","","Year 3: Medical Microbiology and Parasitology","Medical Virology","","high","Content confirmed Medical Virology (adenoviruses, hemorrhagic fever, viral receptors)"
"ee5492ab-fb9e-4dd9-829b-ee6a57e23ee4","Platelet Disorders","Year 3: Hematopathology","","Year 3: Hematology and Blood Transfusion","Hematopathology","","high","Clean label match: raw suffix ""Hematopathology"" maps directly to taxonomy"
"dfdea184-a929-46dd-a20e-7a637d93119f","Pathology of Demyelinating Diseases: MS, NMO, ADEM, CPM","Year 3: Neuropathology","","Year 3: General & Systemic Pathology","Neuropathology","","high","Clean label match: raw suffix ""Neuropathology"" maps directly to taxonomy"
"ec93296f-fe45-4170-a72d-01f09e256997","Bone & Soft Tissue Pathology: Cases, Tumors, & Answers","Year 3: Bone and Soft Tissue Pathology","","Year 3: General & Systemic Pathology","Bone and Soft Tissue Pathology","","high","Clean label match: raw suffix ""Bone and Soft Tissue Pathology"" maps directly to taxonomy"
"f5193605-b074-4436-b9c8-03a43e11e9b8","Medical Virology: Parvovirus B19 & Adenovirus Exam Guide","Year 3: Medical Virology","","Year 3: Medical Microbiology and Parasitology","Medical Virology","","high","Clean label match: raw suffix ""Medical Virology"" maps directly to taxonomy"
"1992a755-7359-4c4d-b30c-805144e0855a","Neuropathology Essentials: Edema, Hydrocephalus, Brain Herniation","Year 3: Neuropathology","","Year 3: General & Systemic Pathology","Neuropathology","","high","Clean label match: raw suffix ""Neuropathology"" maps directly to taxonomy"
"5dc964a2-6440-4814-ac75-9fdfb9410821","CARDIOVASCULAR PATHOLOGY","Year 3: Cardiovascular System Pathology","","Year 3: General & Systemic Pathology","Cardiovascular System Pathology","","high","Clean label match: raw suffix ""Cardiovascular System Pathology"" maps directly to taxonomy"
"3f1134e7-2fc3-4b15-8451-eef4d150c7ac","Master Rhinoviruses & RVFV: Common Cold & Zoonotic Fever","Year 3: Medical Virology","","Year 3: Medical Microbiology and Parasitology","Medical Virology","","high","Clean label match: raw suffix ""Medical Virology"" maps directly to taxonomy"
"3041fa92-88bc-47e4-990a-804517da7f5c","ENDOCRINE PATHOLOGY","Year 3: Endocrine and Metabolic Pathology","","Year 3: General & Systemic Pathology","Endocrine and Metabolic Pathology","","high","Clean label match: raw suffix ""Endocrine and Metabolic Pathology"" maps directly to taxonomy"
"3b3ab8d9-1b8a-4fe1-b913-8ac369842086","Antifungals, Antivirals, Antihelminthics & Antiprotozoals","Year 3: Basic Pharmacology II","","Year 3: Basic Pharmacology","Basic Pharmacology","","high","Clean label match: raw suffix ""Basic Pharmacology II"" maps directly to taxonomy"
"2470032d-1454-42ac-a081-f6e37998dd7f","Medical Mycology Q&A Section A.. ","Year 3: Medical Mycology","","Year 3: Medical Microbiology and Parasitology","Medical Mycology","","high","Clean label match: raw suffix ""Medical Mycology"" maps directly to taxonomy"
"52fe3a7a-fab3-4829-92c4-31d66493091f","Medical Mycology Q&A Section B","Year 3: Medical Mycology","","Year 3: Medical Microbiology and Parasitology","Medical Mycology","","high","Clean label match: raw suffix ""Medical Mycology"" maps directly to taxonomy"
"7ffd5f08-b8a9-4cdd-aa5a-71bb34364401","Pathology Mechanisms: Inflammation, PE, & Impaired Healing","Year 3: Introduction to Pathology","","Year 3: General & Systemic Pathology","General Pathology","","high","Clean label match: raw suffix ""Introduction to Pathology"" maps directly to taxonomy"
"4d7edcf6-517a-4eb9-8dcc-226d602931d8","MASTER PHARMACOLOGY NOTES","Year 3: Basic Pharmacology II","","Year 3: Basic Pharmacology","Basic Pharmacology","","high","Clean label match: raw suffix ""Basic Pharmacology II"" maps directly to taxonomy"
"db5b04d0-cb30-41ac-ba2a-2cbc15048d33","Medical Mycology Q&A Section C","Year 3: Medical Mycology","","Year 3: Medical Microbiology and Parasitology","Medical Mycology","","high","Clean label match: raw suffix ""Medical Mycology"" maps directly to taxonomy"
"e4e9c1e8-45a6-4154-8b27-1c48664603a3","Hallmarks of Cancer: Molecular Basis, Cell Cycle & Oncogenes","Year 3: General Pathology","","Year 3: General & Systemic Pathology","Oncopathology","","high","Category is ""General Pathology"" but title (""Hallmarks of Cancer: Molecular Basis, Cell Cycle & Oncogenes"") is Oncopathology - reclassified"
"c0e8fd68-19b6-4a17-9638-efc3ba77c4ef","Immunopathology Exam: SCID, Transplant Rejection & GVHD","Year 3: Immunopathology","","Year 3: Immunopathology","Immunopathology","","high","Clean label match: raw suffix ""Immunopathology"" maps directly to taxonomy"
"394388b1-8286-4802-9626-bff8811384e9","Comprehensive Heart Pathology Notes 🫀","Year 3: Cardiovascular System Pathology","","Year 3: General & Systemic Pathology","Cardiovascular System Pathology","","high","Clean label match: raw suffix ""Cardiovascular System Pathology"" maps directly to taxonomy"
"007ff8a1-d840-49c7-9424-2a02f1024930","Heart Pathology: Comprehensive Short Notes","Year 3: Cardiovascular System Pathology","","Year 3: General & Systemic Pathology","Cardiovascular System Pathology","","high","Clean label match: raw suffix ""Cardiovascular System Pathology"" maps directly to taxonomy"
"b7fc81fe-ee11-4126-a7a3-e2e4b9a512c8","Herpesviridae: HSV-1, HSV-2 Pathogenesis & Clinical Diseases","Year 3: Medical Virology","","Year 3: Medical Microbiology and Parasitology","Medical Virology","","high","Clean label match: raw suffix ""Medical Virology"" maps directly to taxonomy"
"061820bb-1f88-4a1c-ac40-577c1762347c","General & Systemic Pathology SAQ — Paper II","Year 3: Exam General and Systemic Pathology","","Year 3: General & Systemic Pathology","General Pathology","","medium","Broad multi-system SAQ paper (neural tube defects/Neuro, carcinogenesis/Onco, genetics, oedema/general, glomerular injury/renal, atherosclerosis/cardio, liver cirrhosis/GI, diabetes/endocrine, fracture healing/bone - all roughly equal weight, no single dominant subunit). Used General Pathology as the default/comprehensive-exam bucket per taxonomy guidance."
"c9a18250-7c66-4fee-a1e8-317cbbe14abf","Medical Microbiology III Exam: Viruses, Fungi & Diagnosis","Year 3: Exam Medical Microbiology III","","Year 3: Medical Microbiology and Parasitology","Medical Mycology","","low","Multi-topic, near-even split: huge combined exam-paper compilation (74.8k chars) with viral keyword mentions (136) almost exactly matching fungal keyword mentions (138) - title itself says ""Viruses, Fungi & Diagnosis"". Picked Medical Mycology by the slimmest margin; genuinely a coin-flip, needs manual split."
"5b0663cd-3e2b-4287-b206-956a738e0713","High-Yield Medical Mycology: Top CAT Exam Questions & Drugs","Year 3: Medical Mycology","","Year 3: Medical Microbiology and Parasitology","Medical Mycology","","high","Clean label match: raw suffix ""Medical Mycology"" maps directly to taxonomy"
"e486f428-24cb-44b7-9113-a82f877481e8","Specimen and Sample Handling in Clinical Diagnosis","Year 3: Chemical Pathology","","Year 3: Chemical Pathology","Chemical Pathology","","high","Clean label match: raw suffix ""Chemical Pathology"" maps directly to taxonomy"
"90467770-9f70-4027-b637-d23f2ffb743e","Master Blood Transfusion: A Medical Quiz on Reactions & Tests","Year 3: Blood Transfusion","","Year 3: Hematology and Blood Transfusion","Blood Transfusion","","high","Clean label match: raw suffix ""Blood Transfusion"" maps directly to taxonomy"
"17dc932c-7f44-4ca6-ba57-18c104110ea2","Histopathology & Cytopathology: Tissue Fixation & Exam Guide","Year 3: Histopathology & Cytopathology:","","Year 3: General & Systemic Pathology","Histopathology & Cytopathology","","high","Clean label match: raw suffix ""Histopathology & Cytopathology:"" maps directly to taxonomy"
"e0aa7e9d-ec9f-418b-944d-e6a2fa233d24","Liver Function Tests (LFTs)","Year 3: Chemical Pathology","","Year 3: Chemical Pathology","Chemical Pathology","","high","Clean label match: raw suffix ""Chemical Pathology"" maps directly to taxonomy"
"46131691-6afb-43f5-8c61-2a5bdeb50a46","MYCOLOGY MCQs — Complete Bank","Year 3: Medical Mycology","","Year 3: Medical Microbiology and Parasitology","Medical Mycology","","high","Clean label match: raw suffix ""Medical Mycology"" maps directly to taxonomy"
"1ebc9918-6ee2-452d-85a4-c1c75ba87939","EXAM: Vaccines & Antivirals, Rabies, CMV & EBV, Adenovirus & Enteroviruses","Year 3: Medical Virology","","Year 3: Medical Microbiology and Parasitology","Medical Virology","","high","Clean label match: raw suffix ""Medical Virology"" maps directly to taxonomy"
"ecd7be8b-3eba-47e8-8b98-5511d8262d64","EXAM: Hepatitis Viruses, Oncogenic Viruses, Paramyxoviruses & Arboviruses","Year 3: Medical Virology","","Year 3: Medical Microbiology and Parasitology","Medical Virology","","high","Clean label match: raw suffix ""Medical Virology"" maps directly to taxonomy"
"64d58490-0228-4109-8d96-35105b3feff9","Chemical Pathology Practice Examination","Year 3: General Pathology","","Year 3: Chemical Pathology","Chemical Pathology","","high","Category is ""General Pathology"" but title (""Chemical Pathology Practice Examination"") is Chemical Pathology - reclassified"
"8183904a-f139-497f-a8fc-2aee150f4017","Immunopathology Cat: Hypersensitivity & Anaphylaxis MCQs","Year 3: Immunopathology","","Year 3: Immunopathology","Immunopathology","","high","Clean label match: raw suffix ""Immunopathology"" maps directly to taxonomy"
"558d5138-78da-426b-a7c3-555c9b97e59a","Pharmacology Examination MCQs","Year 3: Basic Pharmacology II","","Year 3: Basic Pharmacology","Basic Pharmacology","","high","Clean label match: raw suffix ""Basic Pharmacology II"" maps directly to taxonomy"
"6bcccc1c-b6cc-4556-835a-13d9195e057c","Congenital Heart Disease","Year 3: Cardiovascular System Pathology","","Year 3: General & Systemic Pathology","Cardiovascular System Pathology","","high","Clean label match: raw suffix ""Cardiovascular System Pathology"" maps directly to taxonomy"
"e6040970-8c63-4206-9305-1bfd107d78cc","EXAM: Bacteriophages, Laboratory Diagnosis, HPV & Parvovirus B19","Year 3: Medical Virology","","Year 3: Medical Microbiology and Parasitology","Medical Virology","","high","Clean label match: raw suffix ""Medical Virology"" maps directly to taxonomy"
"ea5add0f-cd75-44f4-adb3-cb2ac33ef717","Pathology CAT 1: Cell Injury, Metaplasia & Hypoxia Q&A","Year 3: Introduction to Pathology","","Year 3: General & Systemic Pathology","General Pathology","","high","Clean label match: raw suffix ""Introduction to Pathology"" maps directly to taxonomy"
"ce08bfa7-871f-4b12-991e-851a2035d771","ONCOPATHOLOGY MCQs - HALLMARKS OF CANCER","Year 3: General Pathology","","Year 3: General & Systemic Pathology","Oncopathology","","high","Category is ""General Pathology"" but title (""ONCOPATHOLOGY MCQs - HALLMARKS OF CANCER"") is Oncopathology - reclassified"
"b22c8ae8-0aaf-448c-a6ec-b1f921666235","MBChB Year 3 Medical Virology Exam Notes: HSV, CMV, EBV","Year 3: Medical Virology","","Year 3: Medical Microbiology and Parasitology","Medical Virology","","high","Clean label match: raw suffix ""Medical Virology"" maps directly to taxonomy"
"ef61c80e-1e66-4624-a4a6-7192ee43d8a3","Introduction to Oncology: History, Genetics & Immuno-oncology","Year 3: Basic Pharmacology II","","Year 3: Basic Pharmacology","Basic Pharmacology","","high","Clean label match: raw suffix ""Basic Pharmacology II"" maps directly to taxonomy"
"f63f63da-62cb-4d72-9809-83357c256c06","Oncopathology Explained CAT : Cancer Hallmarks, Carcinogens & Tumors","Year 3: Oncopathology","Oncopathology","Year 3: General & Systemic Pathology","Oncopathology","","high","Clean label match: raw suffix ""Oncopathology"" maps directly to taxonomy"
"1d8d64ce-a99a-4a9a-a5ed-8dddd9fe22c0","MEDICAL MYCOLOGY — LONG ANSWER QUESTIONS","Year 3: Medical Mycology","","Year 3: Medical Microbiology and Parasitology","Medical Mycology","","high","Clean label match: raw suffix ""Medical Mycology"" maps directly to taxonomy"
"cf20af6c-cd88-4dfb-be92-1a8122520772","Cryptococcal Meningitis: Symptoms, Causes & Fungal Treatment","Year 3: Exam Medical Microbiology III","","Year 3: Medical Microbiology and Parasitology","Medical Mycology","","high","Content is dominated by Cryptococcosis/Cryptococcal meningitis (fungal) discussion; brief prion/viral-encephalitis questions are marked ""(2 repeats - refer to previous answer)"" i.e. not elaborated. Title (""Cryptococcal Meningitis... Fungal Treatment"") confirms Medical Mycology."
"1d281c24-b5a8-4ff7-9c61-94310fe2139f","MKU Medical Virology Exam Guide: HIV, CMV, Vaccines & More","Year 3: Medical Virology","","Year 3: Medical Microbiology and Parasitology","Medical Virology","","high","Clean label match: raw suffix ""Medical Virology"" maps directly to taxonomy"
"5dc38c34-df55-4204-9425-fc7fcb210f19","Gastrointestinal Pathology Exam: H. pylori, Barrett's, Anomalies","Year 3: Gastrointestinal Pathology","","Year 3: General & Systemic Pathology","Gastrointestinal Pathology","","high","Clean label match: raw suffix ""Gastrointestinal Pathology"" maps directly to taxonomy"
"50dbd673-dc01-4f1a-9429-8de8dc035725","Oncology: Surgery, Radiotherapy & Chemotherapy Explained","Year 3: Basic Pharmacology II","","Year 3: Basic Pharmacology","Basic Pharmacology","","high","Clean label match: raw suffix ""Basic Pharmacology II"" maps directly to taxonomy"
"99e6fa6d-0567-4972-a637-96e100819790","Outline of Female Reproductive Pathology","Year 3: General Pathology","","Year 3: General & Systemic Pathology","Female Reproductive System Pathology","","high","Category is ""General Pathology"" but title (""Outline of Female Reproductive Pathology"") is Female Reproductive System Pathology - reclassified"
"eb948af9-2b1c-4e77-961c-b2994e180a8f","Cancer Pharmacology: Cell Cycle, Oncogenes & Drug Targets","Year 3: Basic Pharmacology II","","Year 3: Basic Pharmacology","Basic Pharmacology","","high","Clean label match: raw suffix ""Basic Pharmacology II"" maps directly to taxonomy"
"fe23f6a7-e01d-4b5d-9ac8-cf78b973cb88","Cell Cycle & Chemotherapy: Drug Mechanisms & Phases","Year 3: Basic Pharmacology II","","Year 3: Basic Pharmacology","Basic Pharmacology","","high","Clean label match: raw suffix ""Basic Pharmacology II"" maps directly to taxonomy"
"0d31a817-1830-47fa-b52a-3fac1bc3c117","Head & Neck Pathology MCQs: Oral, Ear, Throat & Gland Tumors","Year 3: Head & Neck Pathology","","Year 3: General & Systemic Pathology","Head & Neck Pathology","","high","Clean label match: raw suffix ""Head & Neck Pathology"" maps directly to taxonomy"
"94108dad-7d21-421f-9801-4acb35332f18","ONCOPATHOLOGY - SHORT ANSWER QUESTIONS (SAQs)","Year 3: General Pathology","","Year 3: General & Systemic Pathology","Oncopathology","","high","Category is ""General Pathology"" but title (""ONCOPATHOLOGY - SHORT ANSWER QUESTIONS"") is Oncopathology - reclassified"
"89c47275-d9c4-43ff-b89d-52bb93d36599","-Know Sickle Cell Disease: Pathology, Genetics & Mechanisms","Year 3: Hematopathology","","Year 3: Hematology and Blood Transfusion","Hematopathology","","high","Clean label match: raw suffix ""Hematopathology"" maps directly to taxonomy"
"4f30c9ff-3a67-4455-8bf4-ede1f6148987","Lower Urinary Tract & Ureter Pathology: Obstruction & Tumors","Year 3: Male Reproductive and Urinary System Pathology","","Year 3: General & Systemic Pathology","Male Reproductive and Urinary System Pathology","","high","Clean label match: raw suffix ""Male Reproductive and Urinary System Pathology"" maps directly to taxonomy"
"9ef3c5cd-004e-4b7d-af80-899f384ec14a","Pathology MCQs: Cell Injury, Cell Death, and Adaptations","Year 3: General Pathology","","Year 3: General & Systemic Pathology","General Pathology","","high","Clean label match: raw suffix ""General Pathology"" maps directly to taxonomy"
"5f937a40-812a-42ae-ac53-a4f8c4c4e386","Chemical Pathology: Endocrine Cases, Pituitary & Thyroid Q&A","Year 3: Chemical Pathology","","Year 3: Chemical Pathology","Chemical Pathology","","high","Clean label match: raw suffix ""Chemical Pathology"" maps directly to taxonomy"
"f80d97cf-4334-45df-891e-64a4bfea6491"," Transfusion: Governance, Donor Selection & Blood Groups","Year 3: Junior Clerkship - General Pathology I","","Year 3: Hematology and Blood Transfusion","Blood Transfusion","","high","Category is ""Junior Clerkship - General Pathology I"" but content (""Transfusion: Governance, Donor Selection & Blood Groups"") is clearly Blood Transfusion - reclassified"
"cc1370f6-e8c7-4e3e-ac00-cfa10e577f2a","Cerebrovascular Disease: Stroke, Ischemia & Hemorrhage Explained","Year 3: Neuropathology","","Year 3: General & Systemic Pathology","Neuropathology","","high","Clean label match: raw suffix ""Neuropathology"" maps directly to taxonomy"
"656c382f-db9f-4048-a720-a5d759707f4a","Chemical Pathology MCQs","Year 3: Endocrine and Metabolic Pathology","","Year 3: Chemical Pathology","Clinical Chemistry","","high","Title/category say Endocrine but content is entirely Clinical Chemistry MCQs (BMP, liver function, electrolytes) - reclassified"
"7a528db0-4b22-4d38-a889-0b66d3109b7b","Skin & Breast Pathology MCQs: Dermatological Lesions & Diseases","Year 3: Female Reproductive System Pathology","","Year 3: General & Systemic Pathology","Dermatopathology","","high","Category is ""Female Reproductive System Pathology"" but content is the joint ""MBPA 3536B Skin and Breast Pathology"" CAT exam, and skin-related mentions (73) vastly outnumber breast-related mentions (14) - override #2 logic applied, reclassified to Dermatopathology"
"3e3824f4-922e-4ee7-aa1b-827f30a63811","Acute Tubular Injury (ATI): AKI Causes, Pathology & Prognosis","Year 3: Male Reproductive and Urinary System Pathology","","Year 3: General & Systemic Pathology","Male Reproductive and Urinary System Pathology","","high","Clean label match: raw suffix ""Male Reproductive and Urinary System Pathology"" maps directly to taxonomy"
"cc71fad9-bd09-46ff-880b-2bf3639d208c","CVS History, Physical Exam & ECG: Master Clinical Assessment","Year 3: Introduction to Clinical Techniques","","Year 3: Clinical Techniques","Introduction to Clinical Techniques","","high","Clean label match: raw suffix ""Introduction to Clinical Techniques"" maps directly to taxonomy"
"f0919406-1c17-468e-ad04-63ed01b065fd","Chemical Pathology","Year 3: Chemical Pathology","","Year 3: Chemical Pathology","Chemical Pathology","","high","Clean label match: raw suffix ""Chemical Pathology"" maps directly to taxonomy"
