id,title,old_category,new_category,status
"3b3ab8d9-1b8a-4fe1-b913-8ac369842086","Antifungals, Antivirals, Antihelminthics & Antiprotozoals","Year 3: Basic Pharmacology","Year 3: Basic Pharmacology I","success"
"1992a755-7359-4c4d-b30c-805144e0855a","Neuropathology Essentials: Edema, Hydrocephalus, Brain Herniation","Year 3: General & Systemic Pathology","Year 3: Neuropathology","success"
"5dc964a2-6440-4814-ac75-9fdfb9410821","CARDIOVASCULAR PATHOLOGY","Year 3: General & Systemic Pathology","Year 3: Cardiovascular System Pathology","success"
"3f1134e7-2fc3-4b15-8451-eef4d150c7ac","Master Rhinoviruses & RVFV: Common Cold & Zoonotic Fever","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Virology","success"
"3041fa92-88bc-47e4-990a-804517da7f5c","ENDOCRINE PATHOLOGY","Year 3: General & Systemic Pathology","Year 3: Endocrine and Metabolic Pathology","success"
"2470032d-1454-42ac-a081-f6e37998dd7f","Medical Mycology Q&A Section A.. ","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Mycology","success"
"4d7edcf6-517a-4eb9-8dcc-226d602931d8","MASTER PHARMACOLOGY NOTES","Year 3: Basic Pharmacology","Year 3: Basic Pharmacology II","success"
"52fe3a7a-fab3-4829-92c4-31d66493091f","Medical Mycology Q&A Section B","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Mycology","success"
"7ffd5f08-b8a9-4cdd-aa5a-71bb34364401","Pathology Mechanisms: Inflammation, PE, & Impaired Healing","Year 3: General & Systemic Pathology","Year 3: General Pathology","success"
"db5b04d0-cb30-41ac-ba2a-2cbc15048d33","Medical Mycology Q&A Section C","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Mycology","success"
"e4e9c1e8-45a6-4154-8b27-1c48664603a3","Hallmarks of Cancer: Molecular Basis, Cell Cycle & Oncogenes","Year 3: General & Systemic Pathology","Year 3: Oncopathology","success"
"66ca2809-8db2-484f-a77a-8865020d5a36","Liver Tumors: Benign and Malignant Overview","Year 3: General & Systemic Pathology","Year 3: Gastrointestinal Pathology","success"
"c0e8fd68-19b6-4a17-9638-efc3ba77c4ef","Immunopathology Exam: SCID, Transplant Rejection & GVHD","Year 3: Immunopathology","Year 3: Immunopathology","no-op (already correct)"
"394388b1-8286-4802-9626-bff8811384e9","Comprehensive Heart Pathology Notes 🫀","Year 3: General & Systemic Pathology","Year 3: Cardiovascular System Pathology","success"
"007ff8a1-d840-49c7-9424-2a02f1024930","Heart Pathology: Comprehensive Short Notes","Year 3: General & Systemic Pathology","Year 3: Cardiovascular System Pathology","success"
"b7fc81fe-ee11-4126-a7a3-e2e4b9a512c8","Herpesviridae: HSV-1, HSV-2 Pathogenesis & Clinical Diseases","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Virology","success"
"061820bb-1f88-4a1c-ac40-577c1762347c","General & Systemic Pathology SAQ — Paper II","Year 3: General & Systemic Pathology","Year 3: General Pathology","success"
"c9a18250-7c66-4fee-a1e8-317cbbe14abf","Medical Microbiology III Exam: Viruses, Fungi & Diagnosis","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Mycology","success"
"5b0663cd-3e2b-4287-b206-956a738e0713","High-Yield Medical Mycology: Top CAT Exam Questions & Drugs","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Mycology","success"
"c7befa18-3168-4fa5-b65f-b0739206e4de","Clinical Enzymology and Biomarkers","Year 3: Chemical Pathology","Year 3: Chemical Pathology","no-op (already correct)"
"7875deff-6c18-4eaf-b532-dac472317493","TAKE HOME CAT 1&amp;2.","Year 3: Basic Pharmacology","Year 3: Basic Pharmacology","no-op (already correct)"
"069963bb-0d9e-4ce9-a506-ac8c51ccb377","Endocrine and Metabolic Pathology MCQs","Year 3: General & Systemic Pathology","Year 3: Endocrine and Metabolic Pathology","success"
"e486f428-24cb-44b7-9113-a82f877481e8","Specimen and Sample Handling in Clinical Diagnosis","Year 3: Chemical Pathology","Year 3: Chemical Pathology","no-op (already correct)"
"90467770-9f70-4027-b637-d23f2ffb743e","Master Blood Transfusion: A Medical Quiz on Reactions & Tests","Year 3: Hematology and Blood Transfusion","Year 3: Blood Transfusion","success"
"00babf2a-e3cb-4dd5-a239-0bf710c6db0f","Bone & Joint Pathology: Basic Structure, Cells, and Fractures","Year 3: General & Systemic Pathology","Year 3: Bone and Soft Tissue Pathology","success"
"17dc932c-7f44-4ca6-ba57-18c104110ea2","Histopathology & Cytopathology: Tissue Fixation & Exam Guide","Year 3: General & Systemic Pathology","Year 3: Histopathology & Cytopathology","success"
"1ee06374-eb71-4c97-b3fe-daf776e61251","Medical Virology: Hepatitis, Viral Carcinogenesis & Oncogenic Viruses","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Virology","success"
"e0aa7e9d-ec9f-418b-944d-e6a2fa233d24","Liver Function Tests (LFTs)","Year 3: Chemical Pathology","Year 3: Chemical Pathology","no-op (already correct)"
"46131691-6afb-43f5-8c61-2a5bdeb50a46","MYCOLOGY MCQs — Complete Bank","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Mycology","success"
"1ebc9918-6ee2-452d-85a4-c1c75ba87939","EXAM: Vaccines & Antivirals, Rabies, CMV & EBV, Adenovirus & Enteroviruses","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Virology","success"
"ecd7be8b-3eba-47e8-8b98-5511d8262d64","EXAM: Hepatitis Viruses, Oncogenic Viruses, Paramyxoviruses & Arboviruses","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Virology","success"
"596613ad-c9dd-465b-a916-36a9ad9ab9d3","VIROLOGY SEM 3 CRASHED","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Virology","success"
"863ee0f6-6bff-4265-9377-8545da87c2e4","Review Questions","Year 3: General & Systemic Pathology","Year 3: Endocrine and Metabolic Pathology","success"
"7220b242-bdb5-4bb9-965b-81fdcbf7a481","ONCOPATHOLOGY - MCQs WITH EXPLANATIONS","Year 3: General & Systemic Pathology","Year 3: Oncopathology","success"
"64d58490-0228-4109-8d96-35105b3feff9","Chemical Pathology Practice Examination","Year 3: Chemical Pathology","Year 3: Chemical Pathology","no-op (already correct)"
"8183904a-f139-497f-a8fc-2aee150f4017","Immunopathology Cat: Hypersensitivity & Anaphylaxis MCQs","Year 3: Immunopathology","Year 3: Immunopathology","no-op (already correct)"
"6bcccc1c-b6cc-4556-835a-13d9195e057c","Congenital Heart Disease","Year 3: General & Systemic Pathology","Year 3: Cardiovascular System Pathology","success"
"e6040970-8c63-4206-9305-1bfd107d78cc","EXAM: Bacteriophages, Laboratory Diagnosis, HPV & Parvovirus B19","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Virology","success"
"ea5add0f-cd75-44f4-adb3-cb2ac33ef717","Pathology CAT 1: Cell Injury, Metaplasia & Hypoxia Q&A","Year 3: General & Systemic Pathology","Year 3: General Pathology","success"
"ce08bfa7-871f-4b12-991e-851a2035d771","ONCOPATHOLOGY MCQs - HALLMARKS OF CANCER","Year 3: General & Systemic Pathology","Year 3: Oncopathology","success"
"014a15f6-b25b-435c-b9d3-d68946e03f68","Pathology Continuous Assessment July 2021","Year 3: General & Systemic Pathology","Year 3: General Pathology","success"
"b22c8ae8-0aaf-448c-a6ec-b1f921666235","MBChB Year 3 Medical Virology Exam Notes: HSV, CMV, EBV","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Virology","success"
"9202095d-257c-4276-ae65-56ff1f4cfbbb","Master Pharmacokinetics, Dynamics & Antimicrobial Drugs","Year 3: Basic Pharmacology","Year 3: Basic Pharmacology I","success"
"16936379-5541-46a7-9138-7089393c06a3","Bnd 3104 Nutrition And Dietetics","Year 3: Nutrition and Dietetics","Year 3: Nutrition and Dietetics","no-op (already correct)"
"ef61c80e-1e66-4624-a4a6-7192ee43d8a3","Introduction to Oncology: History, Genetics & Immuno-oncology","Year 3: Basic Pharmacology","Year 3: Basic Pharmacology III","success"
"f63f63da-62cb-4d72-9809-83357c256c06","Oncopathology Explained CAT : Cancer Hallmarks, Carcinogens & Tumors","Year 3: General & Systemic Pathology","Year 3: Oncopathology","success"
"1d8d64ce-a99a-4a9a-a5ed-8dddd9fe22c0","MEDICAL MYCOLOGY — LONG ANSWER QUESTIONS","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Mycology","success"
"cf20af6c-cd88-4dfb-be92-1a8122520772","Cryptococcal Meningitis: Symptoms, Causes & Fungal Treatment","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Mycology","success"
"1d281c24-b5a8-4ff7-9c61-94310fe2139f","MKU Medical Virology Exam Guide: HIV, CMV, Vaccines & More","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Virology","success"
"50dbd673-dc01-4f1a-9429-8de8dc035725","Oncology: Surgery, Radiotherapy & Chemotherapy Explained","Year 3: Basic Pharmacology","Year 3: Basic Pharmacology III","success"
"eb948af9-2b1c-4e77-961c-b2994e180a8f","Cancer Pharmacology: Cell Cycle, Oncogenes & Drug Targets","Year 3: Basic Pharmacology","Year 3: Basic Pharmacology III","success"
"5dc38c34-df55-4204-9425-fc7fcb210f19","Gastrointestinal Pathology Exam: H. pylori, Barrett's, Anomalies","Year 3: General & Systemic Pathology","Year 3: Gastrointestinal Pathology","success"
"fe23f6a7-e01d-4b5d-9ac8-cf78b973cb88","Cell Cycle & Chemotherapy: Drug Mechanisms & Phases","Year 3: Basic Pharmacology","Year 3: Basic Pharmacology III","success"
"0d31a817-1830-47fa-b52a-3fac1bc3c117","Head & Neck Pathology MCQs: Oral, Ear, Throat & Gland Tumors","Year 3: General & Systemic Pathology","Year 3: Head & Neck Pathology","success"
"94108dad-7d21-421f-9801-4acb35332f18","ONCOPATHOLOGY - SHORT ANSWER QUESTIONS (SAQs)","Year 3: General & Systemic Pathology","Year 3: Oncopathology","success"
"89c47275-d9c4-43ff-b89d-52bb93d36599","-Know Sickle Cell Disease: Pathology, Genetics & Mechanisms","Year 3: Hematology and Blood Transfusion","Year 3: Hematopathology","success"
"4f30c9ff-3a67-4455-8bf4-ede1f6148987","Lower Urinary Tract & Ureter Pathology: Obstruction & Tumors","Year 3: General & Systemic Pathology","Year 3: Male Reproductive and Urinary System Pathology","success"
"9ef3c5cd-004e-4b7d-af80-899f384ec14a","Pathology MCQs: Cell Injury, Cell Death, and Adaptations","Year 3: General & Systemic Pathology","Year 3: General Pathology","success"
"5f937a40-812a-42ae-ac53-a4f8c4c4e386","Chemical Pathology: Endocrine Cases, Pituitary & Thyroid Q&A","Year 3: Chemical Pathology","Year 3: Chemical Pathology","no-op (already correct)"
"f80d97cf-4334-45df-891e-64a4bfea6491"," Transfusion: Governance, Donor Selection & Blood Groups","Year 3: Hematology and Blood Transfusion","Year 3: Blood Transfusion","success"
"cc1370f6-e8c7-4e3e-ac00-cfa10e577f2a","Cerebrovascular Disease: Stroke, Ischemia & Hemorrhage Explained","Year 3: General & Systemic Pathology","Year 3: Neuropathology","success"
"656c382f-db9f-4048-a720-a5d759707f4a","Chemical Pathology MCQs","Year 3: Chemical Pathology","Year 3: Clinical Chemistry","success"
"3e3824f4-922e-4ee7-aa1b-827f30a63811","Acute Tubular Injury (ATI): AKI Causes, Pathology & Prognosis","Year 3: General & Systemic Pathology","Year 3: Male Reproductive and Urinary System Pathology","success"
"cc71fad9-bd09-46ff-880b-2bf3639d208c","CVS History, Physical Exam & ECG: Master Clinical Assessment","Year 3: Clinical Techniques","Year 3: Introduction to Clinical Techniques","success"
"c22b7ee9-6698-4359-bfe9-062d89fc548b","Pharmacology END SEM 3CAT: Drug Response, Bioavailability & Antifungals","Year 3: Basic Pharmacology","Year 3: Basic Pharmacology I","success"
"3894745c-5fbf-4ef5-bcd3-5219ee7553db","Pharmacology Wk 1 & 2","Year 3: Basic Pharmacology","Year 3: Basic Pharmacology II","success"
"f0919406-1c17-468e-ad04-63ed01b065fd","Chemical Pathology","Year 3: Chemical Pathology","Year 3: Chemical Pathology","no-op (already correct)"
"91f930be-0d43-4888-8330-a2ec540c3f29","Bladder Cancer & Urothelial Neoplasms: Types, Risks, Pathogenesis","Year 3: General & Systemic Pathology","Year 3: Male Reproductive and Urinary System Pathology","success"
"68641b6b-7c93-4e05-9bbc-b280891e9124","PATHOLOGY MCQs: CELL INJURY, DEATH, AND ADAPTATIONS","Year 3: General & Systemic Pathology","Year 3: General Pathology","success"
"b61441a2-fce2-4e1e-b47a-501dc3947850","Oncopathology Hallmarks of Cancer MCQs","Year 3: General & Systemic Pathology","Year 3: Oncopathology","success"
"0171a092-e53c-4985-8d96-dcdd57f4b54f","CNS Pathology: Neuron & Astrocyte Injury, Reactions & Neurodegeneration","Year 3: General & Systemic Pathology","Year 3: Neuropathology","success"
"e5570ce6-84b0-4141-b124-18f49aa946bd","💊 Weeks 6 & 7 Must-Know Notes","Year 3: Basic Pharmacology","Year 3: Basic Pharmacology I","success"
"eeb34078-9794-4228-90f0-44da0fb3fd58","Pathology of Acute Skin Inflammation: Urticaria & Eczema","Year 3: General & Systemic Pathology","Year 3: Dermatopathology","success"
"1459bd9f-cdf0-44ee-9e02-0b4e85caddb8","Breast Pathology: Developmental Disorders, Pain, Discharge, Masses","Year 3: General & Systemic Pathology","Year 3: Breast Pathology","success"
"ef90d847-3636-44bc-86be-5d26d798be91","🫀 MISSING TOPICS — ULTRA DEEP NOTES","Year 3: General & Systemic Pathology","Year 3: Cardiovascular System Pathology","success"
"fd646601-7f6e-4e59-a6e2-80269b0b6098","Herpesviridae: HSV-1, HSV-2, VZV Pathogenesis, Diagnosis, Treatment","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Virology","success"
"f7b1ba96-9487-4124-95f4-3a8bf4938f93","Infectious Arthritis: Bacterial, TB & Viral Joint Infections","Year 3: General & Systemic Pathology","Year 3: Bone and Soft Tissue Pathology","success"
"d195783a-fb87-414c-82d6-8bf1ee361c4f","Herpesviruses: HSV-1, HSV-2, VZV, Symptoms, Diagnosis, Tx","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Virology","success"
"ee8c269e-f49e-4b62-a75b-a6c564f51f5a","LIPID AND LIPOPROTEIN DISORDERS MCQs","Year 3: Chemical Pathology","Year 3: Clinical Chemistry","success"
"8eed6952-b901-478b-9a3a-1cdd94d50fce","LECTURE 6: Pancreatic and Adrenal Hormones","Year 3: General & Systemic Pathology","Year 3: Endocrine and Metabolic Pathology","success"
"d433fddc-e909-4503-93f4-1a7c78f835e1","Haematopathology MCQs: Blood Disorders & Anemia Explained","Year 3: Hematology and Blood Transfusion","Year 3: Hematopathology","success"
"ea4dfce6-0253-4be2-bb68-bfbf99a8782c","ADRENAL NEOPLASMS — Adenoma vs Carcinoma","Year 3: General & Systemic Pathology","Year 3: Endocrine and Metabolic Pathology","success"
"2c87572c-cac8-45f5-830e-71d080e5a623","Mycoses: Superficial, Cutaneous & Systemic Fungal Infections","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Mycology","success"
"74c5dab9-c70c-49b5-bccc-0df5eb13cd33","Medical Bacteriology MCQs: ETEC, Pseudomonas, Salmonella & More","Year 3: Medical Microbiology and Parasitology","Year 3: Bacteriology","success"
"6df8a0a0-b0c6-4bf6-a9b6-14f0787cb40f","Mycotoxins & Aflatoxins: Health Risks, Diagnosis & Management","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Mycology","success"
"64c21cd3-4e90-4dec-b687-233bd73480c9","Cardiovascular Pathology MCQs: Rheumatic Fever, AAA, HTN, HFpEF","Year 3: General & Systemic Pathology","Year 3: Cardiovascular System Pathology","success"
"25b2c9d9-fc25-48e3-bdb3-cb4add5af3b9","Fungal Genetics, HIV & Mycoses Epidemiology in Kenya","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Mycology","success"
"095a3290-926f-4693-ac8e-0f27cce893b5","Skin & Breast Pathology CAT: MKU Year 3 Medicine Exam","Year 3: General & Systemic Pathology","Year 3: Breast Pathology","success"
"3cb38170-ccfc-4058-a170-4dd9d857b469","Glomerular Diseases: Classification, Histology & Pathology","Year 3: General & Systemic Pathology","Year 3: Male Reproductive and Urinary System Pathology","success"
"c9c32832-ac7d-410d-86a2-d8a577f1b637","Genetics & Disease: Muscular Dystrophy, CF, Marfan, Diabetes, Cancer","Year 3: General & Systemic Pathology","Year 3: Genetic Disorders","success"
"63fa1a73-2106-4b1c-ac30-d02e1379103c","general Pathology Q&amp;A","Year 3: General & Systemic Pathology","Year 3: General Pathology","success"
"74d6acd4-c449-40af-83c4-25bae2ae556b","Endocrine LAqs and SAqs","Year 3: General & Systemic Pathology","Year 3: Endocrine and Metabolic Pathology","success"
"c69f0853-3226-4387-b3c7-9ec617327671","Cytopathology vs Histopathology CAT: Definitions & Lab Basics","Year 3: General & Systemic Pathology","Year 3: Histopathology & Cytopathology","success"
"b4d538f1-3017-4c63-97d9-d288e9f133dd","GASTROINTESTINAL PATHOLOGY (Part 3)","Year 3: General & Systemic Pathology","Year 3: Gastrointestinal Pathology","success"
"3f48f7eb-e5db-4d23-bc47-8abfd70c9e28","Respiratory Pathology 1b","Year 3: General & Systemic Pathology","Year 3: Respiratory System Pathology","success"
"2ca687e8-eabe-4091-9462-0f92765f8ae2","End Sem Cat: Respiratory Pathology: Emphysema, ARDS, Pneumoconiosis","Year 3: General & Systemic Pathology","Year 3: Respiratory System Pathology","success"
"5647759d-d436-479e-9ae4-7e8bedcfab30","Types of Mutations in ARBHN (Amino Acid Replacement Based on Hemoglobin to Product Form)","Year 3: General & Systemic Pathology","Year 3: Genetic Disorders","success"
"86d65f5d-3d3a-43dc-8f33-ff834798534f","Heart Disease: Must Knows","Year 3: General & Systemic Pathology","Year 3: Cardiovascular System Pathology","success"
"b3dd28be-c71f-4074-b27a-ca5ba9ba123b","Liver Histology, Physiology and Pathology","Year 3: General & Systemic Pathology","Year 3: Gastrointestinal Pathology","success"
"7e0f34a5-52ad-4002-b2ed-86ea0491a371","Genetic Disorders CAT: Key Terms & Inheritance Patterns Explained","Year 3: General & Systemic Pathology","Year 3: Genetic Disorders","success"
"f3469fff-058a-4f2e-81ca-514c7f56c0a1","Breast Cancer Guide: Epidemiology, Risk Factors & Classification","Year 3: General & Systemic Pathology","Year 3: Breast Pathology","success"
"187bf467-6ef7-471f-8149-7b6382947e24","Penile & Testicular Pathologies: Hypospadias, Tumors, Torsion – Male Reproductiv","Year 3: General & Systemic Pathology","Year 3: Male Reproductive and Urinary System Pathology","success"
"33fb0af9-68e8-46d8-a2bf-14a6d661d667","Oncology Intro: Cancer Biology, Genetics & Immuno-Oncology","Year 3: Basic Pharmacology","Year 3: Basic Pharmacology III","success"
"14775036-cb2c-4e84-bdb7-b6a520583f11","Medical Pathology Final Revision: Chemical, Hema, Systemic","Year 3: General & Systemic Pathology","Year 3: General Pathology","success"
"31d07a12-1d26-49e0-8804-3474f6aed1e0","Introduction to Oncology: History, Genetics & Immuno-oncology","Year 3: Basic Pharmacology","Year 3: Basic Pharmacology III","success"
"7366b6a5-d0a0-4f6a-89e7-69b5dcdcc15f","SummaryThis document provides a comprehensive overview of male reproductive system pathologies, covering congenital malformations, inflammatory conditions, and neoplasms of the penis, testis, epididymis, and prostate. It details conditions such as hypospadias, squamous cell carcinoma of the penis, cryptorchidism, testicular torsion, germ cell tumors, prostatitis, benign prostatic hyperplasia (BPH), and prostate carcinoma. Key risk factors, pathogenesis, clinical features, and management strategies are discussed for each pathology.","Year 3: General & Systemic Pathology","Year 3: Male Reproductive and Urinary System Pathology","success"
"bd31016e-acfc-4759-bc4a-fc6d1e928eda","Chemotherapy Drugs: Cell Cycle Phase & Mechanism Explained","Year 3: Basic Pharmacology","Year 3: Basic Pharmacology III","success"
"e2eaaf23-35c7-41fe-b8a1-6d9d2e8c8d40","Renal, Liver, Cardiac & Adrenal Function Tests for Year 3","Year 3: Hematology and Blood Transfusion","Year 3: Hematopathology","success"
"1ce71419-51e8-4bd9-8079-9923c892a19c","ADRENAL NEOPLASMS — Adenoma vs Carcinoma","Year 3: General & Systemic Pathology","Year 3: Endocrine and Metabolic Pathology","success"
"550e3408-a708-4f85-9f3e-4d765f5ff070","Medical Mycology Fundamentals: Fungi, Antifungal Drugs & More","Year 3: Medical Microbiology and Parasitology","Year 3: Medical Mycology","success"
"c44bf6c3-130e-4f6c-9126-84513ba24eb4","ADRENAL NEOPLASMS — Adenoma vs Carcinoma","Year 3: General & Systemic Pathology","Year 3: Endocrine and Metabolic Pathology","success"
"f92ded78-f5b7-4ec7-ab7d-69a9590611ef","Tuesday","Year 3: General & Systemic Pathology","Year 3: General Pathology","success"
"b6c8555f-e9db-4f71-8814-cd6f555a8513","Cellular Injury and Adaptation MCQs","Year 3: General & Systemic Pathology","Year 3: General Pathology","success"
