id,title,old_category,old_unit,new_category,new_unit,confidence,reason,status
"c3585606-cb89-4afc-8447-fbc836ec0829","Quality Control in Clinical Chemistry","Year 3: Chemical Pathology","Chemical Pathology","Year 3: Chemical Pathology I","Chemical Pathology I","high","Quality control in clinical chemistry - exact Sem1 topic match","success"
"47daa53a-f9b3-4a73-a34d-186b4f8fcb1e","Chemical Path, Long Answer and Short Answer","Year 3: Chemical Pathology","Chemical Pathology","Year 3: Chemical Pathology I","Chemical Pathology I","high","Sodium disorders - exact Sem1 'fluid & electrolyte disorders (Na/K)' topic match","success"
"8f6e9f23-1e3c-4e2a-b49e-d4fb01bfa3a9","Chemical Pathology Sem 1","Year 3: Chemical Pathology","Chemical Pathology","Year 3: Chemical Pathology I","Chemical Pathology I","high","Title literally states 'Chemical Pathology Sem 1'","success"
"f18fa6cb-76d8-4403-812f-88213fb76ffa","CRUSH COURSE YEAR 3 SEM 1 WORK (Part 1) ","Year 3: Clinical Chemistry","Clinical Chemistry","Year 3: Chemical Pathology I","Chemical Pathology I","high","Title literally states 'CRUSH COURSE YEAR 3 SEM 1 WORK'","success"
"c2b9c790-26af-41fd-b5c2-01c27380fa81","","Year 3: Clinical Chemistry","Clinical Chemistry","Year 3: Chemical Pathology I","Chemical Pathology I","medium","Respiratory alkalosis/acid-base - Sem1 'acid-base/blood gas analysis' topic","success"
"8544c7a9-8ff7-4418-a282-ddf5f2978c24","CRUSH COURSE (PART 2) Clinical Chem Patho","Year 3: Clinical Chemistry","Clinical Chemistry","Year 3: Chemical Pathology I","Chemical Pathology I","high","GI/pancreatic disorders and liver disease - both exact Sem1 topics; part of the same series as the explicit 'SEM 1' crash course","success"
"cb640a0a-7fc6-4c0f-bb17-e701fc6d7626","CRASH COURSE PART 3 CHEMICAL PATHO","Year 3: Clinical Chemistry","Clinical Chemistry","Year 3: Chemical Pathology I","Chemical Pathology I","medium","Cytology/vitamins/trace elements section of the same 'SEM 1' crash course series (Parts 1-3)","success"
"7f72709b-62ae-4234-b0b6-478d053ac684","ACID-BASE DISORDERS - CLINICAL CASE MCQs","Year 3: Clinical Chemistry","Clinical Chemistry","Year 3: Chemical Pathology I","Chemical Pathology I","high","Acid-base disorders - exact Sem1 topic match","success"
"88e06805-a632-4109-bf3d-0bb895aec903","ACIDOSIS AND ALKALOSIS MCQs","Year 3: Clinical Chemistry","Clinical Chemistry","Year 3: Chemical Pathology I","Chemical Pathology I","high","Acidosis and alkalosis - exact Sem1 acid-base topic match","success"
"5f937a40-812a-42ae-ac53-a4f8c4c4e386","Chemical Pathology: Endocrine Cases, Pituitary & Thyroid Q&A","Year 3: Chemical Pathology","Chemical Pathology","Year 3: Chemical Pathology II","Chemical Pathology II","high","Content explicitly says 'Assessment: End of Semester 2 CAT - Unit: Chemical Pathology II'","success"
"aca1d504-5556-4456-949f-0e1de4785028","Chemical Pathology MCQs: Diabetes, Renal & Liver Disease","Year 3: Chemical Pathology","Chemical Pathology","Year 3: Chemical Pathology II","Chemical Pathology II","medium","Diabetes and renal disease are Sem2 topics (endocrine disorders, renal function evaluation)","success"
"370992f8-1b16-402c-9049-2ae71ba57e1c","Chemical Pathology MCQs: Clinical Chemistry, Endocrine & Renal","Year 3: Chemical Pathology","Chemical Pathology","Year 3: Chemical Pathology II","Chemical Pathology II","low","Title names Endocrine & Renal (Sem2 topics) though content preview shows general electrolytes too - mixed","success"
"ee837240-29c1-4326-bd96-9044973fd0d9","KIDNEY FUNCTION TESTS &amp; GASTRIC FUNCTION","Year 3: Clinical Chemistry","Clinical Chemistry","Year 3: Chemical Pathology II","Chemical Pathology II","medium","Kidney function tests - Sem2 'renal function evaluation' topic","success"
"e2eaaf23-35c7-41fe-b8a1-6d9d2e8c8d40","Renal, Liver, Cardiac & Adrenal Function Tests for Year 3","Year 3: Hematopathology","Hematopathology","Year 3: Chemical Pathology II","Chemical Pathology II","low","Mixed Chem Path/Haematology revision pack, dominant framing is organ function tests (renal/adrenal are Sem2 topics); was mislabeled under Hematopathology unit","success"
"65e06c63-1c47-4dc8-8a5f-0faf30b2e8e6","General & Systemic Pathology Exam: MBChB Year 3 Questions","Year 3: Hematopathology","Hematopathology","Year 3: General Pathology","General Pathology","medium","Title is 'General & Systemic Pathology Exam', not Haematology - was mislabeled under Hematopathology unit","success"
"72488117-a7e1-4c85-9812-3f609eb13b8c","Chemical Pathology","Year 3: Hematopathology","Hematopathology","Year 3: Chemical Pathology I","Chemical Pathology I","low","Generic pre-op lab panel question, Chemical Pathology content mislabeled under Hematopathology unit","success"
"9f8daef9-7582-4f7d-8f23-a5588b663adf","Blood Transfusion: ABO, Rh Blood Groups, Compatibility & HDN","Year 3: Blood Transfusion","Blood Transfusion","Year 3: Blood Transfusion","Blood Transfusion","high","Content explicitly states 'MBML 3223 | Semester 3'","success"
"fcf197c0-b3ae-4473-baab-d88da4b5f839","Blood Transfusion Contraindications & Acute Reactions","Year 3: Blood Transfusion","Blood Transfusion","Year 3: Blood Transfusion","Blood Transfusion","high","Same document series as the explicit Semester 3 blood transfusion notes","success"
"90467770-9f70-4027-b637-d23f2ffb743e","Master Blood Transfusion: A Medical Quiz on Reactions & Tests","Year 3: Blood Transfusion","Blood Transfusion","Year 3: Blood Transfusion","Blood Transfusion","high","Content explicitly states 'Mid Semester 3 - Continuous Assessment Test'","success"
"f80d97cf-4334-45df-891e-64a4bfea6491"," Transfusion: Governance, Donor Selection & Blood Groups","Year 3: Blood Transfusion","Blood Transfusion","Year 3: Blood Transfusion","Blood Transfusion","high","Blood transfusion governance/donor selection - Sem3 topic","success"
"779250a3-b0a5-4004-95b2-9172cc013f2f","Blood Grouping and Blood Typing","Year 3: Blood Transfusion","Blood Transfusion","Year 3: Blood Transfusion","Blood Transfusion","high","Blood grouping/typing - Sem3 blood transfusion topic","success"
"d6381565-892e-40c3-8cde-093f6542df0d","Blood Transfusion Medicine: An Exam-Focused Review","Year 3: Blood Transfusion","Blood Transfusion","Year 3: Blood Transfusion","Blood Transfusion","high","Blood transfusion medicine review - Sem3 topic","success"
"32d6141b-af76-42cf-b8bc-30e1f095ea36","","Year 3: Blood Transfusion","Blood Transfusion","Year 3: Blood Transfusion","Blood Transfusion","high","Same MBML3223 Semester 3 blood transfusion note series","success"
"a15874d0-3082-4e8e-8783-520e71372e63","Blood Transfusion Guide: ABO, Reactions, Products & Safety","Year 3: Blood Transfusion","Blood Transfusion","Year 3: Blood Transfusion","Blood Transfusion","high","Blood groups/transfusion compatibility - Sem3 topic","success"
"89c47275-d9c4-43ff-b89d-52bb93d36599","-Know Sickle Cell Disease: Pathology, Genetics & Mechanisms","Year 3: Hematopathology","Hematopathology","Year 3: Hematopathology II","Hematopathology II","medium","Sickle cell disease - Sem2 'anaemia' topic","success"
"d433fddc-e909-4503-93f4-1a7c78f835e1","Haematopathology MCQs: Blood Disorders & Anemia Explained","Year 3: Hematopathology","Hematopathology","Year 3: Hematopathology II","Hematopathology II","high","Content explicitly states 'CAT 2 - End of Semester 2'","success"
"b3645b00-b674-4194-9a4b-e2e4303354d5","Lymphoma Overview and Classification","Year 3: Hematopathology","Hematopathology","Year 3: Hematopathology II","Hematopathology II","medium","Lymphoma - Sem2 'WBC malignancies' topic","success"
"13eb910f-247b-422f-810a-8dc6b04333c8","White Cell Disorders — Must-Know Notes","Year 3: Hematopathology","Hematopathology","Year 3: Hematopathology II","Hematopathology II","high","White cell disorders - exact Sem2 'WBC malignancies' topic match","success"
"43093875-63a2-4e93-9217-af5d525d29f3","Hematologic Malignancies and Bleeding Disorders","Year 3: Hematopathology","Hematopathology","Year 3: Hematopathology II","Hematopathology II","medium","Hematologic malignancies and bleeding disorders - Sem2 WBC malignancy/coagulation topics","success"
"cbdf513e-1dd7-4e90-840e-2bc27aaee18f","Year 3: Haematology and Blood Transfusion Pathology","Year 3: Hematopathology","Hematopathology","Year 3: Hematopathology II","Hematopathology II","low","Garbled 'Semester Two (Sem 1)' header - leaned Sem2","success"
"53e948b2-60ac-45fe-b1d3-573b242a19b0","Haematology Exam 2025: MCQs on Anaemia, Leukaemia & Clotting","Year 3: Hematopathology","Hematopathology","Year 3: Hematopathology II","Hematopathology II","high","Anaemia, leukaemia, clotting - all three are Sem2 topics","success"
"48c72126-7f3a-447e-9b9a-7631632d78c5","Haematology Revision: Haematopoiesis, Anaemia & IDA Guide","Year 3: Hematopathology","Hematopathology","Year 3: Hematopathology II","Hematopathology II","high","Haematopoiesis and anaemia/IDA - exact Sem2 topic match","success"
"087bd6a6-36f6-48b6-96d5-077cb2844840","Hematopathology MCQs & Essays: MBChB Exam Revision Guide","Year 3: Hematopathology","Hematopathology","Year 3: Hematopathology II","Hematopathology II","low","Generic past-paper MCQs/essays, no clear semester signal - defaulted","success"
"7cd72a72-6794-4fcc-a54a-9b9cf7b36a63","Dr. Orata Haematology MCQs: Past Paper Questions & Answers","Year 3: Hematopathology","Hematopathology","Year 3: Hematopathology II","Hematopathology II","medium","Opens with haemopoietic bone marrow composition - Sem2 haemopoiesis topic","success"
"7c1cc27d-4cbf-4bba-8a0f-32aa9a6e1b2d","Acute Leukaemia (AML/ALL) & WBC Disorders: Hematology Guide","Year 3: Hematopathology","Hematopathology","Year 3: Hematopathology II","Hematopathology II","high","WBC function & disorders, acute leukaemia - exact Sem2 topic match","success"
"076c3be4-52e9-4c52-ba8c-cfe55d9d4491","Non-Hodgkin Lymphoma: Classification, Symptoms, Diagnosis, and Treatment","Year 3: Hematopathology","Hematopathology","Year 3: Hematopathology II","Hematopathology II","medium","Non-Hodgkin Lymphoma - Sem2 WBC malignancy topic","success"
"d333712a-dc6c-4e69-a939-8e404cb506a2","MDS, Myelofibrosis & HLH: Key Blood Disorders Explained","Year 3: Hematopathology","Hematopathology","Year 3: Hematopathology III","Hematopathology III","high","MDS/myelofibrosis - exact Sem3 'myeloproliferative disease/myelodysplastic syndromes' topic match","success"
"ef1a7f99-7653-4535-b148-19e8877c2075","Haemostasis & Coagulation: Platelet Function & Bleeding Disorders","Year 3: Hematopathology","Hematopathology","Year 3: Hematopathology III","Hematopathology III","high","Content explicitly states 'MBML 3223 | Semester 3'","success"
"ee5492ab-fb9e-4dd9-829b-ee6a57e23ee4","Platelet Disorders","Year 3: Hematopathology","Hematopathology","Year 3: Hematopathology III","Hematopathology III","medium","Part of the same explicit-Semester-3 haemostasis/coagulation note series","success"
"1221cab3-aed5-4e10-b285-be7681d9596f","Haematology MCQs END YEAR 2025: Medical Student Exam Prep & Answers","Year 3: Hematopathology","Hematopathology","Year 3: Hematopathology III","Hematopathology III","low","End-of-year comprehensive exam spanning the whole Haematology course - defaulted to Sem3 as the culminating semester","success"
"cdb4d91d-c68d-4a3e-942d-dd7c944dc880","Hematology & Blood Transfusion Pathology: MDS, Stem Cell Transplant","Year 3: Hematopathology","Hematopathology","Year 3: Hematopathology III","Hematopathology III","high","Content explicitly states 'SEMESTER THREE - REMAINING TOPICS' covering MDS","success"
"cd769b67-4dcd-4814-bd15-50ad6c9989dc","Aplastic Anemia: Causes, Symptoms & Treatment | Hematology","Year 3: Hematopathology","Hematopathology","Year 3: Hematopathology III","Hematopathology III","high","Aplastic anaemia and bone marrow failure - exact Sem3 topic match","success"
