table,id,title,old_slug,new_slug,clean_slug,status
"mcq_sets","2eb4ec9c-ed7d-4a30-a7f2-6c945e1d3293","CHEMICAL PATHOLOGY","chemical-pathology-2eb4ec","chemical-pathology-3","chemical-pathology","success"
"mcq_sets","4b08f26c-3a82-4ad4-a60c-b3a6620f1821","Chemical Pathology","chemical-pathology-4b08f2","chemical-pathology-4","chemical-pathology","success"
"mcq_sets","e75b2510-4bce-464e-8fb4-5bf4b6830766","Parasitology, Entomology and Bacteriology Question &amp; Answers","parasitology-entomology-and-bacteriology-question-amp-answers-e75b25","parasitology-entomology-and-bacteriology-question-amp-answers-2","parasitology-entomology-and-bacteriology-question-amp-answers","success"
"mcq_sets","eb788418-8c3e-4095-b586-56ef68d8645c","Parasitology, Entomology and Bacteriology Question &amp; Answers","parasitology-entomology-and-bacteriology-question-amp-answers-eb7884","parasitology-entomology-and-bacteriology-question-amp-answers-3","parasitology-entomology-and-bacteriology-question-amp-answers","success"
"mcq_sets","ca7faf54-7df4-47ab-81d2-1a80786c82b4","Parasitology, Entomology and Bacteriology Question &amp; Answers","parasitology-entomology-and-bacteriology-question-amp-answers-ca7faf","parasitology-entomology-and-bacteriology-question-amp-answers-4","parasitology-entomology-and-bacteriology-question-amp-answers","success"
"mcq_sets","331b545b-759e-44dc-93c0-2f702fe1e3eb","MICROBIOLOGY AND PARASITOLOGY MCQs","microbiology-and-parasitology-mcqs-331b54","microbiology-and-parasitology-mcqs-2","microbiology-and-parasitology-mcqs","success"
"mcq_sets","18120cd5-556e-4dd8-b344-1dd4f67558af","MICROBIOLOGY AND PARASITOLOGY MCQs","microbiology-and-parasitology-mcqs-18120c","microbiology-and-parasitology-mcqs-3","microbiology-and-parasitology-mcqs","success"
"mcq_sets","3656a700-7b08-409a-a892-8980eea3c9c0","MICROBIOLOGY AND PARASITOLOGY MCQs","microbiology-and-parasitology-mcqs-3656a7","microbiology-and-parasitology-mcqs-4","microbiology-and-parasitology-mcqs","success"
"mcq_sets","b1f1f927-2d85-48c7-a49e-052a5376c8e3","MICROBIOLOGY AND PARASITOLOGY MCQs","microbiology-and-parasitology-mcqs-b1f1f9","microbiology-and-parasitology-mcqs-5","microbiology-and-parasitology-mcqs","success"
"mcq_sets","2239e9ec-02dd-4cf9-93df-9bfdee7cd625","MICROBIOLOGY AND PARASITOLOGY MCQs","microbiology-and-parasitology-mcqs-2239e9","microbiology-and-parasitology-mcqs-6","microbiology-and-parasitology-mcqs","success"
"mcq_sets","6a549a37-ef69-4d3d-ab21-3b270cbdedc4","MICROBIOLOGY AND PARASITOLOGY MCQs","microbiology-and-parasitology-mcqs-6a549a","microbiology-and-parasitology-mcqs-7","microbiology-and-parasitology-mcqs","success"
"mcq_sets","0ccfee3f-70a3-48f0-8aac-365d72382dee","MICROBIOLOGY AND PARASITOLOGY MCQs","microbiology-and-parasitology-mcqs-0ccfee","microbiology-and-parasitology-mcqs-8","microbiology-and-parasitology-mcqs","success"
"mcq_sets","154c2bb1-27bf-4bcc-820e-de9a6385b778","Principles of Medical Microbiology and Parasitology MCQs","principles-of-medical-microbiology-and-parasitology-mcqs-154c2b","principles-of-medical-microbiology-and-parasitology-mcqs-2","principles-of-medical-microbiology-and-parasitology-mcqs","success"
"mcq_sets","a4cb5d80-9249-4123-b0ce-5da1c96c6c87","Principles of Medical Microbiology and Parasitology MCQs","principles-of-medical-microbiology-and-parasitology-mcqs-a4cb5d","principles-of-medical-microbiology-and-parasitology-mcqs-3","principles-of-medical-microbiology-and-parasitology-mcqs","success"
"mcq_sets","05954b56-9d55-4df8-988c-7794fcaa2242","Principles of Medical Microbiology and Parasitology MCQs","principles-of-medical-microbiology-and-parasitology-mcqs-05954b","principles-of-medical-microbiology-and-parasitology-mcqs-4","principles-of-medical-microbiology-and-parasitology-mcqs","success"
"mcq_sets","b82b3f12-1e72-431d-b237-f93d99a85795","Principles of Medical Microbiology and Parasitology MCQs","principles-of-medical-microbiology-and-parasitology-mcqs-b82b3f","principles-of-medical-microbiology-and-parasitology-mcqs-5","principles-of-medical-microbiology-and-parasitology-mcqs","success"
"mcq_sets","009c6ab0-ab3a-4f31-84ba-e0540afa760c","Principles of Medical Microbiology and Parasitology MCQs","principles-of-medical-microbiology-and-parasitology-mcqs-009c6a","principles-of-medical-microbiology-and-parasitology-mcqs-6","principles-of-medical-microbiology-and-parasitology-mcqs","success"
"mcq_sets","a472ed6d-8e30-4f4f-840b-7176f71c1a05","Principles of Medical Microbiology and Parasitology MCQs","principles-of-medical-microbiology-and-parasitology-mcqs-a472ed","principles-of-medical-microbiology-and-parasitology-mcqs-7","principles-of-medical-microbiology-and-parasitology-mcqs","success"
"mcq_sets","f7356aa3-2eda-4850-b157-c276eeb62b3e","Principles of Medical Microbiology and Parasitology MCQs","principles-of-medical-microbiology-and-parasitology-mcqs-f7356a","principles-of-medical-microbiology-and-parasitology-mcqs-8","principles-of-medical-microbiology-and-parasitology-mcqs","success"
"mcq_sets","5ef1676b-600d-4ea6-909a-19dff6b3418a","Parasitology Examination","parasitology-examination-5ef167","parasitology-examination-2","parasitology-examination","success"
"mcq_sets","17e55ce2-8c29-483a-9c23-1b1c46c1a47f","Parasitology Examination","parasitology-examination-17e55c","parasitology-examination-3","parasitology-examination","success"
"mcq_sets","f2b70da3-27b9-47f2-a7bf-c2af2fa6b439","Parasitology Examination","parasitology-examination-f2b70d","parasitology-examination-4","parasitology-examination","success"
"mcq_sets","fc7bded7-ae84-4606-b45a-4f4738784076","Parasitology Examination MCQs","parasitology-examination-fc7bde","parasitology-examination-5","parasitology-examination","success"
"mcq_sets","ed5f8cb8-5f7f-4cb1-aabc-e12040b60f73","Parasitology Examination","parasitology-examination-ed5f8c","parasitology-examination-6","parasitology-examination","success"
"mcq_sets","972a3cc3-5cc4-49bc-ac48-ce496528e06c","Parasitology Examination","parasitology-examination-972a3c","parasitology-examination-7","parasitology-examination","success"
"mcq_sets","210c9ee2-ef06-406f-ab9c-3876ea934ca3","Parasitology Examination","parasitology-examination-210c9e","parasitology-examination-8","parasitology-examination","success"
"mcq_sets","197cd8bd-635f-4795-bd09-30bafeb0881b","Parasitology, Entomology and Bacteriology Question &amp; Answers","parasitology-entomology-and-bacteriology-question-and-amp-answers-197cd8","parasitology-entomology-and-bacteriology-question-and-amp-answers-2","parasitology-entomology-and-bacteriology-question-and-amp-answers","success"
"mcq_sets","3cb31cd2-f4d9-43ee-b2e0-3051d1edc19b","Parasitology, Entomology and Bacteriology Question &amp; Answers","parasitology-entomology-and-bacteriology-question-and-amp-answers-3cb31c","parasitology-entomology-and-bacteriology-question-and-amp-answers-3","parasitology-entomology-and-bacteriology-question-and-amp-answers","success"
"mcq_sets","d8b53398-4c50-47b2-ab35-69f6adaea017","Parasitology, Entomology and Bacteriology Question &amp; Answers","parasitology-entomology-and-bacteriology-question-and-amp-answers-d8b533","parasitology-entomology-and-bacteriology-question-and-amp-answers-4","parasitology-entomology-and-bacteriology-question-and-amp-answers","success"
"mcq_sets","5675f848-7575-4c7e-bd44-f4928c6939fe","Basic Pharmacology - Study Guide","basic-pharmacology-study-guide-5675f8","basic-pharmacology-study-guide-2","basic-pharmacology-study-guide","success"
"mcq_sets","876be393-6b44-4936-8170-ad448a87c4d1","CHEMICAL PATHOLOGY MCQs","chemical-pathology-mcqs-876be3","chemical-pathology-mcqs-2","chemical-pathology-mcqs","success"
"mcq_sets","e5f5e517-3de3-424a-9a70-d2eb9a5624bf","Chemical Pathology MCQS","chemical-pathology-mcqs-e5f5e5","chemical-pathology-mcqs-3","chemical-pathology-mcqs","success"
"mcq_sets","b0e27bc0-0f23-4ff7-85a6-d013de3d0947","Endocrine and Metabolic Pathology MCQs","endocrine-and-metabolic-pathology-mcqs-b0e27b","endocrine-and-metabolic-pathology-mcqs-2","endocrine-and-metabolic-pathology-mcqs","success"
"mcq_sets","9528416a-771e-45e8-bd67-dc60724f4da3","Cell Injury, Adaptation & Death.","50-multiple-choice-questions-952841","50-multiple-choice-questions-2","50-multiple-choice-questions","success"
