id,title,year,course_unit,subunit,old_category
"dfdea184-a929-46dd-a20e-7a637d93119f","Pathology of Demyelinating Diseases: MS, NMO, ADEM, CPM","3","General & Systemic Pathology","Neuropathology","Year 3: Neuropathology"
"ec93296f-fe45-4170-a72d-01f09e256997","Bone & Soft Tissue Pathology: Cases, Tumors, & Answers","3","General & Systemic Pathology","Bone and Soft Tissue Pathology","Year 3: Bone and Soft Tissue Pathology"
"f5193605-b074-4436-b9c8-03a43e11e9b8","Medical Virology: Parvovirus B19 & Adenovirus Exam Guide","3","Medical Microbiology and Parasitology","Medical Virology","Year 3: Medical Virology"
"ffa29ec5-8f85-49f5-bc35-ea4c3130fcac","RESEARCH METHODOLOGY & INTRODUCTION TO RESEARCH","2","Epidemiology and Biostatistics","Epidemiology and Statistics","Year 2: Epidemiology and Statistics"
"bf3a96fc-6f33-4709-ae02-d3866bf1ba87","Sleep Physiology Examination Paper","2","Medical Physiology II","Physiology","Year 2: Physiology"
"e88b26d9-5327-4556-b246-c76d1e8b0a35","Epidemiology And Biostatistics","2","Epidemiology and Biostatistics","Epidemiology and Statistics","Year 2: Epidemiology and Statistics"
"1992a755-7359-4c4d-b30c-805144e0855a","Neuropathology Essentials: Edema, Hydrocephalus, Brain Herniation","3","General & Systemic Pathology","Neuropathology","Year 3: Neuropathology"
"5dc964a2-6440-4814-ac75-9fdfb9410821","CARDIOVASCULAR PATHOLOGY","3","General & Systemic Pathology","Cardiovascular System Pathology","Year 3: Cardiovascular System Pathology"
"3f1134e7-2fc3-4b15-8451-eef4d150c7ac","Master Rhinoviruses & RVFV: Common Cold & Zoonotic Fever","3","Medical Microbiology and Parasitology","Medical Virology","Year 3: Medical Virology"
"194d5379-1ef2-4545-84b3-3507edb6cc94","GIT and CNS Physiology MCQs","2","Medical Physiology II","GIT Physiology","Year 2: GIT Physiology"
"76950035-f777-44c2-a486-4eaeae5731c8","Medical Physiology Pp2 Year 2","2","Medical Physiology II","Physiology","Year 2: Physiology"
"3041fa92-88bc-47e4-990a-804517da7f5c","ENDOCRINE PATHOLOGY","3","General & Systemic Pathology","Endocrine and Metabolic Pathology","Year 3: Endocrine and Metabolic Pathology"
"3b3ab8d9-1b8a-4fe1-b913-8ac369842086","Antifungals, Antivirals, Antihelminthics & Antiprotozoals","3","Basic Pharmacology","Basic Pharmacology","Year 3: Basic Pharmacology II"
"2470032d-1454-42ac-a081-f6e37998dd7f","Medical Mycology Q&A Section A.. ","3","Medical Microbiology and Parasitology","Medical Mycology","Year 3: Medical Mycology"
"21757872-1519-4abd-9557-12415d8f2b78","Medical Physiology II (Paper 2)","2","Medical Physiology II","Physiology","Year 2: Physiology"
"44b09693-f41d-40dc-befa-7b594755788c","Immunology Quiz","2","Immunology","Cellular Immunology","Year 2: Cellular Immunology"
"a999e181-eba9-483a-b6b7-cb858d46af6a","Integrated Tissue Metabolism MCQs","1","Medical Biochemistry I","Enzymes, Vitamins and Minerals","Year 1: Enzymes, Vitamins and Minerals"
"52fe3a7a-fab3-4829-92c4-31d66493091f","Medical Mycology Q&A Section B","3","Medical Microbiology and Parasitology","Medical Mycology","Year 3: Medical Mycology"
"e2143678-b328-45e6-b7cf-6f6336aec278","TUMOR SUPPRESSOR GENES & CELL CYCLE CONTROL MCQs","2","Medical Biochemistry II","Molecular Biology","Year 2: Molecular Biology"
"a2af75b6-fcbc-4314-8ef9-86c9e2232557","White Matter Fibres of the Brain","1","Human Anatomy I","Anatomy","Year 1: Anatomy"
"7ffd5f08-b8a9-4cdd-aa5a-71bb34364401","Pathology Mechanisms: Inflammation, PE, & Impaired Healing","3","General & Systemic Pathology","General Pathology","Year 3: Introduction to Pathology"
"4d7edcf6-517a-4eb9-8dcc-226d602931d8","MASTER PHARMACOLOGY NOTES","3","Basic Pharmacology","Basic Pharmacology","Year 3: Basic Pharmacology II"
"db5b04d0-cb30-41ac-ba2a-2cbc15048d33","Medical Mycology Q&A Section C","3","Medical Microbiology and Parasitology","Medical Mycology","Year 3: Medical Mycology"
"e4e9c1e8-45a6-4154-8b27-1c48664603a3","Hallmarks of Cancer: Molecular Basis, Cell Cycle & Oncogenes","3","General & Systemic Pathology","General Pathology","Year 3: General Pathology"
"5754bfe9-f0a2-4d3b-afa1-e0f636af0d6f","Medical Physiology GIT MCQs","2","Medical Physiology II","Physiology","Year 2: Physiology"
"c0e8fd68-19b6-4a17-9638-efc3ba77c4ef","Immunopathology Exam: SCID, Transplant Rejection & GVHD","3","Immunopathology","Immunopathology","Year 3: Immunopathology"
"394388b1-8286-4802-9626-bff8811384e9","Comprehensive Heart Pathology Notes 🫀","3","General & Systemic Pathology","Cardiovascular System Pathology","Year 3: Cardiovascular System Pathology"
"3295f73f-8488-4170-90d0-dfa00f94d06d","Aseptic Techniques in Microbiology Laboratory","2","Principles of Microbiology and Parasitology","Microbiology","Year 2: Microbiology"
"007ff8a1-d840-49c7-9424-2a02f1024930","Heart Pathology: Comprehensive Short Notes","3","General & Systemic Pathology","Cardiovascular System Pathology","Year 3: Cardiovascular System Pathology"
"b7fc81fe-ee11-4126-a7a3-e2e4b9a512c8","Herpesviridae: HSV-1, HSV-2 Pathogenesis & Clinical Diseases","3","Medical Microbiology and Parasitology","Medical Virology","Year 3: Medical Virology"
"1629d0d4-1616-45f3-947b-67463aba0aba","Digestive Physiology MCQs","2","Medical Physiology II","GIT Physiology","Year 2: GIT Physiology"
"061820bb-1f88-4a1c-ac40-577c1762347c","General & Systemic Pathology SAQ — Paper II","3","General & Systemic Pathology","General Pathology","Year 3: Exam General and Systemic Pathology"
"5b0663cd-3e2b-4287-b206-956a738e0713","High-Yield Medical Mycology: Top CAT Exam Questions & Drugs","3","Medical Microbiology and Parasitology","Medical Mycology","Year 3: Medical Mycology"
"20154185-e78a-4b26-b91c-416422cf2b6e","Polymerase Chain Reaction (PCR)","2","Medical Biochemistry II","Molecular Biology","Year 2: Molecular Biology"
"e486f428-24cb-44b7-9113-a82f877481e8","Specimen and Sample Handling in Clinical Diagnosis","3","Chemical Pathology","Chemical Pathology","Year 3: Chemical Pathology"
"90467770-9f70-4027-b637-d23f2ffb743e","Master Blood Transfusion: A Medical Quiz on Reactions & Tests","3","Hematology and Blood Transfusion","Blood Transfusion","Year 3: Blood Transfusion"
"493feb9e-1ffd-4660-9131-a480b6edc43b","Genetic Disorders MCQ Examination","2","Medical Biochemistry II","Molecular Genetics and Cytogenetics","Year 2: Molecular Genetics and Cytogenetics"
"1e5ba7f1-f025-4e10-8889-389a4d885bbf","Cestodes (Tapeworms)","2","Principles of Microbiology and Parasitology","Parasitology","Year 2: Parasitology"
"17dc932c-7f44-4ca6-ba57-18c104110ea2","Histopathology & Cytopathology: Tissue Fixation & Exam Guide","3","General & Systemic Pathology","Histopathology & Cytopathology","Year 3: Histopathology & Cytopathology:"
"73ae00c4-0c17-46e6-b1e9-5460cbcf9502","INTRODUCTION TO GENETIC DISORDERS AND MUTATIONS MCQs","2","Medical Biochemistry II","Molecular Genetics and Cytogenetics","Year 2: Molecular Genetics and Cytogenetics"
"eef16a5f-80ec-4318-a970-9d948c004e28","Medical Physiology Paper I","2","Medical Physiology II","Physiology","Year 2: Physiology"
"e0aa7e9d-ec9f-418b-944d-e6a2fa233d24","Liver Function Tests (LFTs)","3","Chemical Pathology","Chemical Pathology","Year 3: Chemical Pathology"
"46ea4307-9e85-4bb1-9881-d1625fb85a3d","Principles of Medical Microbiology and Parasitology MCQs","2","Principles of Microbiology and Parasitology","Parasitology","Year 2: Parasitology"
"46131691-6afb-43f5-8c61-2a5bdeb50a46","MYCOLOGY MCQs — Complete Bank","3","Medical Microbiology and Parasitology","Medical Mycology","Year 3: Medical Mycology"
"1ebc9918-6ee2-452d-85a4-c1c75ba87939","EXAM: Vaccines & Antivirals, Rabies, CMV & EBV, Adenovirus & Enteroviruses","3","Medical Microbiology and Parasitology","Medical Virology","Year 3: Medical Virology"
"ecd7be8b-3eba-47e8-8b98-5511d8262d64","EXAM: Hepatitis Viruses, Oncogenic Viruses, Paramyxoviruses & Arboviruses","3","Medical Microbiology and Parasitology","Medical Virology","Year 3: Medical Virology"
"d3c7d066-5d02-45d9-bc15-e4059350859b","Parasitology, Entomology and Bacteriology Question &amp; Answers","2","Principles of Microbiology and Parasitology","Parasitology","Year 2: Parasitology"
"64d58490-0228-4109-8d96-35105b3feff9","Chemical Pathology Practice Examination","3","General & Systemic Pathology","General Pathology","Year 3: General Pathology"
"8183904a-f139-497f-a8fc-2aee150f4017","Immunopathology Cat: Hypersensitivity & Anaphylaxis MCQs","3","Immunopathology","Immunopathology","Year 3: Immunopathology"
"558d5138-78da-426b-a7c3-555c9b97e59a","Pharmacology Examination MCQs","3","Basic Pharmacology","Basic Pharmacology","Year 3: Basic Pharmacology II"
"6bcccc1c-b6cc-4556-835a-13d9195e057c","Congenital Heart Disease","3","General & Systemic Pathology","Cardiovascular System Pathology","Year 3: Cardiovascular System Pathology"
"e6040970-8c63-4206-9305-1bfd107d78cc","EXAM: Bacteriophages, Laboratory Diagnosis, HPV & Parvovirus B19","3","Medical Microbiology and Parasitology","Medical Virology","Year 3: Medical Virology"
"ea5add0f-cd75-44f4-adb3-cb2ac33ef717","Pathology CAT 1: Cell Injury, Metaplasia & Hypoxia Q&A","3","General & Systemic Pathology","General Pathology","Year 3: Introduction to Pathology"
"d5b52182-b343-423a-a372-fe770eac9463","","2","Principles of Microbiology and Parasitology","Microbiology","Year 2: Microbiology"
"ad47bbba-ca52-4e9c-86c6-933864402820","MEDICAL BACTERIOLOGY (MBMM3311) - MCQs","2","Principles of Microbiology and Parasitology","Microbiology","Year 2: Microbiology"
"ce08bfa7-871f-4b12-991e-851a2035d771","ONCOPATHOLOGY MCQs - HALLMARKS OF CANCER","3","General & Systemic Pathology","General Pathology","Year 3: General Pathology"
"b22c8ae8-0aaf-448c-a6ec-b1f921666235","MBChB Year 3 Medical Virology Exam Notes: HSV, CMV, EBV","3","Medical Microbiology and Parasitology","Medical Virology","Year 3: Medical Virology"
"ef61c80e-1e66-4624-a4a6-7192ee43d8a3","Introduction to Oncology: History, Genetics & Immuno-oncology","3","Basic Pharmacology","Basic Pharmacology","Year 3: Basic Pharmacology II"
"23cfdccc-f515-4199-97f4-e4a550810730","Mechanisms of Hormone Action","1","Medical Physiology I","Neurophysiology I","Year 1: Neurophysiology I"
"f63f63da-62cb-4d72-9809-83357c256c06","Oncopathology Explained CAT : Cancer Hallmarks, Carcinogens & Tumors","3","General & Systemic Pathology","Oncopathology","Year 3: Oncopathology"
"1d8d64ce-a99a-4a9a-a5ed-8dddd9fe22c0","MEDICAL MYCOLOGY — LONG ANSWER QUESTIONS","3","Medical Microbiology and Parasitology","Medical Mycology","Year 3: Medical Mycology"
"1d281c24-b5a8-4ff7-9c61-94310fe2139f","MKU Medical Virology Exam Guide: HIV, CMV, Vaccines & More","3","Medical Microbiology and Parasitology","Medical Virology","Year 3: Medical Virology"
"369a35f1-d8f4-4dea-b610-7c33f2fe7af7","CLINICAL BIOCHEMISTRY MCQs","2","Immunology","Cellular Immunology","Year 2: Cellular Immunology"
"5dc38c34-df55-4204-9425-fc7fcb210f19","Gastrointestinal Pathology Exam: H. pylori, Barrett's, Anomalies","3","General & Systemic Pathology","Gastrointestinal Pathology","Year 3: Gastrointestinal Pathology"
"50dbd673-dc01-4f1a-9429-8de8dc035725","Oncology: Surgery, Radiotherapy & Chemotherapy Explained","3","Basic Pharmacology","Basic Pharmacology","Year 3: Basic Pharmacology II"
"c1cb6b57-f29d-4883-a9ef-736581458302","MICROBIOLOGY AND PARASITOLOGY MCQs","2","Principles of Microbiology and Parasitology","Parasitology","Year 2: Parasitology"
"99e6fa6d-0567-4972-a637-96e100819790","Outline of Female Reproductive Pathology","3","General & Systemic Pathology","General Pathology","Year 3: General Pathology"
"eb948af9-2b1c-4e77-961c-b2994e180a8f","Cancer Pharmacology: Cell Cycle, Oncogenes & Drug Targets","3","Basic Pharmacology","Basic Pharmacology","Year 3: Basic Pharmacology II"
"fe23f6a7-e01d-4b5d-9ac8-cf78b973cb88","Cell Cycle & Chemotherapy: Drug Mechanisms & Phases","3","Basic Pharmacology","Basic Pharmacology","Year 3: Basic Pharmacology II"
"390fc357-de99-45ad-90e1-187cdac2f944","Dna Replication","2","Medical Biochemistry II","Molecular Biology","Year 2: Molecular Biology"
"0d31a817-1830-47fa-b52a-3fac1bc3c117","Head & Neck Pathology MCQs: Oral, Ear, Throat & Gland Tumors","3","General & Systemic Pathology","Head & Neck Pathology","Year 3: Head & Neck Pathology"
"94108dad-7d21-421f-9801-4acb35332f18","ONCOPATHOLOGY - SHORT ANSWER QUESTIONS (SAQs)","3","General & Systemic Pathology","General Pathology","Year 3: General Pathology"
"89c47275-d9c4-43ff-b89d-52bb93d36599","-Know Sickle Cell Disease: Pathology, Genetics & Mechanisms","3","Hematology and Blood Transfusion","Hematopathology","Year 3: Hematopathology"
"4f30c9ff-3a67-4455-8bf4-ede1f6148987","Lower Urinary Tract & Ureter Pathology: Obstruction & Tumors","3","General & Systemic Pathology","Male Reproductive and Urinary System Pathology","Year 3: Male Reproductive and Urinary System Pathology"
"9ef3c5cd-004e-4b7d-af80-899f384ec14a","Pathology MCQs: Cell Injury, Cell Death, and Adaptations","3","General & Systemic Pathology","General Pathology","Year 3: General Pathology"
"5f937a40-812a-42ae-ac53-a4f8c4c4e386","Chemical Pathology: Endocrine Cases, Pituitary & Thyroid Q&A","3","Chemical Pathology","Chemical Pathology","Year 3: Chemical Pathology"
"4269e118-109a-4394-92f8-7583a4bf480a","Medical Physiology IV (CNS)","2","Medical Physiology II","Physiology","Year 2: Physiology"
"8a6a4e27-6e70-497c-96fe-0b2c320b6c15","Genetic Disorders MCQ Examination (Part 2)","2","Medical Biochemistry II","Molecular Genetics and Cytogenetics","Year 2: Molecular Genetics and Cytogenetics"
"f80d97cf-4334-45df-891e-64a4bfea6491"," Transfusion: Governance, Donor Selection & Blood Groups","3","General & Systemic Pathology","General Pathology","Year 3: Junior Clerkship - General Pathology I"
"cc1370f6-e8c7-4e3e-ac00-cfa10e577f2a","Cerebrovascular Disease: Stroke, Ischemia & Hemorrhage Explained","3","General & Systemic Pathology","Neuropathology","Year 3: Neuropathology"
"656c382f-db9f-4048-a720-a5d759707f4a","Chemical Pathology MCQs","3","General & Systemic Pathology","Endocrine and Metabolic Pathology","Year 3: Endocrine and Metabolic Pathology"
"70ec5251-42b2-44cf-adea-79db494ba86e","Historical Milestones in DNA Discovery","2","Medical Biochemistry II","Molecular Biology","Year 2: Molecular Biology"
"7a528db0-4b22-4d38-a889-0b66d3109b7b","Skin & Breast Pathology MCQs: Dermatological Lesions & Diseases","3","General & Systemic Pathology","Female Reproductive System Pathology","Year 3: Female Reproductive System Pathology"
"6641a1e9-9faf-487e-ab5b-399e8e34d491","Development of the Interatrial Septum","1","Human Anatomy I","Embryology","Year 1: Embryology"
"3e3824f4-922e-4ee7-aa1b-827f30a63811","Acute Tubular Injury (ATI): AKI Causes, Pathology & Prognosis","3","General & Systemic Pathology","Male Reproductive and Urinary System Pathology","Year 3: Male Reproductive and Urinary System Pathology"
"5fbc91f9-58dc-40c9-bfa3-951de180430b","Parasitology Examination","2","Principles of Microbiology and Parasitology","Parasitology","Year 2: Parasitology"
"cc71fad9-bd09-46ff-880b-2bf3639d208c","CVS History, Physical Exam & ECG: Master Clinical Assessment","3","Clinical Techniques","Clinical Techniques","Year 3: Introduction to Clinical Techniques"
"b1acf3c7-e634-4a14-8847-1b529ddea659","TABLES MUST KNOW( Entomology)","2","Principles of Microbiology and Parasitology","Parasitology","Year 2: Parasitology"
"9d27220a-856a-4ac8-9b23-9ecb797f999e","Transcription Factors","2","Medical Biochemistry II","Molecular Biology","Year 2: Molecular Biology"
"1e25c9e7-0f77-4cc9-b345-a71b7ca67998","MEDICAL PHYSIOLOGY II ESsays","2","Medical Physiology II","Physiology","Year 2: Physiology"
"f0919406-1c17-468e-ad04-63ed01b065fd","Chemical Pathology","3","Chemical Pathology","Chemical Pathology","Year 3: Chemical Pathology"
"91f930be-0d43-4888-8330-a2ec540c3f29","Bladder Cancer & Urothelial Neoplasms: Types, Risks, Pathogenesis","3","General & Systemic Pathology","Male Reproductive and Urinary System Pathology","Year 3: Male Reproductive and Urinary System Pathology"
"c22b7ee9-6698-4359-bfe9-062d89fc548b","Pharmacology END SEM 3CAT: Drug Response, Bioavailability & Antifungals","3","Basic Pharmacology","Basic Pharmacology","Year 3 : Basic Pharmacology III"
"3894745c-5fbf-4ef5-bcd3-5219ee7553db","Pharmacology Wk 1 & 2","3","Basic Pharmacology","Basic Pharmacology","Year 3: Basic Pharmacology III"
"468608a2-01e0-4f55-9947-434f206f89ea","Calcium Homeostasis and Disorders","1","Medical Physiology I","Neurophysiology I","Year 1: Neurophysiology I"
"1b37fa08-53ac-4ed3-9704-97b465cdfbf6","Comprehensive Immunology Quiz","2","Immunology","Cellular Immunology","Year 2: Cellular Immunology"
"68641b6b-7c93-4e05-9bbc-b280891e9124","PATHOLOGY MCQs: CELL INJURY, DEATH, AND ADAPTATIONS","3","General & Systemic Pathology","General Pathology","Year 3: General Pathology"
"69cdc7a8-1b2a-441a-ab60-9956fd966818","INTRODUCTION TO NEOPLASIA MCQs","3","General & Systemic Pathology","General Pathology","Year 3: General Pathology"
"b61441a2-fce2-4e1e-b47a-501dc3947850","Oncopathology Hallmarks of Cancer MCQs","3","General & Systemic Pathology","General Pathology","Year 3: General Pathology"
"cec065fb-42f2-4cc1-9531-314373ad60a2","Anatomy Comprehensive Review","1","Human Anatomy I","Anatomy","Year 1: Anatomy"
"0171a092-e53c-4985-8d96-dcdd57f4b54f","CNS Pathology: Neuron & Astrocyte Injury, Reactions & Neurodegeneration","3","General & Systemic Pathology","Neuropathology","Year 3: Neuropathology"
"c0c25ddc-18e4-42c3-80c6-f55b858a7647","Head and Neck Anatomy MCQs","1","Human Anatomy I","Anatomy","Year 1: Anatomy"
"3d0368e4-ca1f-4ca7-99ba-8b7a1c9f4eca","Vital Signs Assessment","1","Medical Physiology I","Cardiovascular Physiology","Year 1: Cardiovascular Physiology"
"b144c6eb-9d22-48a0-b811-93c6ddda1786","General Pathology","3","General & Systemic Pathology","General Pathology","Year 3: General Pathology"
"88602d04-fa1d-4e6b-b9bf-5c6167ca76cd","END YEAR PP1 & PP2 2025 Physiology: MCQs for Medical School Exams","2","Medical Physiology II","Physiology","Year 2: Physiology"
"eeb34078-9794-4228-90f0-44da0fb3fd58","Pathology of Acute Skin Inflammation: Urticaria & Eczema","3","General & Systemic Pathology","Breast Pathology","Year 3: Breast Pathology"
"c2317981-2708-41f6-b81b-35a0638ec892","Types of Polymorphism","2","Medical Biochemistry II","Molecular Genetics and Cytogenetics","Year 2: Molecular Genetics and Cytogenetics"
"e5570ce6-84b0-4141-b124-18f49aa946bd","💊 Weeks 6 & 7 Must-Know Notes","3","Basic Pharmacology","Basic Pharmacology","Year 3: Basic Pharmacology III"
"1459bd9f-cdf0-44ee-9e02-0b4e85caddb8","Breast Pathology: Developmental Disorders, Pain, Discharge, Masses","3","General & Systemic Pathology","Breast Pathology","Year 3: Breast Pathology"
"ef90d847-3636-44bc-86be-5d26d798be91","🫀 MISSING TOPICS — ULTRA DEEP NOTES","3","General & Systemic Pathology","Cardiovascular System Pathology","Year 3: Cardiovascular System Pathology"
"358d768c-80ca-4e4e-8444-e2e1143977a9","SINGLE-GENE DISORDERS WITH ATYPICAL INHERITANCE MCQs","2","Medical Biochemistry II","Molecular Genetics and Cytogenetics","Year 2: Molecular Genetics and Cytogenetics"
"869ab62c-2c7e-4334-b16a-fde1678e11cc","Medical Bacteriology","2","Principles of Microbiology and Parasitology","Microbiology","Year 2: Microbiology"
"5aab8eb2-320c-42dd-8261-476975e211dd","END YEAR PP1 & PP2 2025 Physiology: MCQs for Medical School Exams","2","Medical Physiology II","Physiology","Year 2: Physiology"
